Day;Hour;Wave;Acc Mag ;Moving Avg Acc MAG(3);Moving Avg Acc MAG(4);Moving Avg Acc MAG(5);Moving Avg Acc MAG(6)
23/10/2024; 18:48:43;0;1,123004;1,031936;1,053509;1,048407;1,05226
23/10/2024; 18:48:43;0;1,123004;1,031936;1,053509;1,048407;1,05226
23/10/2024; 18:48:43;0;1,069972;1,073369;1,041445;1,056802;1,052001
23/10/2024; 18:48:43;0;1,013261;1,068746;1,058342;1,035808;1,049545
23/10/2024; 18:48:43;0;1,013261;1,068746;1,058342;1,035808;1,049545
23/10/2024; 18:48:43;0;0,99596;1,026398;1,050549;1,045865;1,029167
23/10/2024; 18:48:43;0;0,99596;1,026398;1,050549;1,045865;1,029167
23/10/2024; 18:48:43;0;1,056311;1,021844;1,033876;1,051702;1,047606
23/10/2024; 18:48:43;0;1,056311;1,021844;1,033876;1,051702;1,047606
23/10/2024; 18:48:43;0;1,095506;1,049259;1,04026;1,046202;1,059003
23/10/2024; 18:48:43;0;1,028266;1,060028;1,044011;1,037861;1,043213
23/10/2024; 18:48:44;0;1,028266;1,060028;1,044011;1,037861;1,043213
23/10/2024; 18:48:44;0;1,022793;1,048855;1,050719;1,039767;1,03535
23/10/2024; 18:48:44;0;1,059488;1,036849;1,051513;1,052473;1,043054
23/10/2024; 18:48:44;0;1,059488;1,036849;1,051513;1,052473;1,043054
23/10/2024; 18:48:44;0;1,049272;1,043851;1,039955;1,051065;1,051939
23/10/2024; 18:48:44;0;1,024435;1,044398;1,038997;1,036851;1,046627
23/10/2024; 18:48:44;0;1,024435;1,044398;1,038997;1,036851;1,046627
23/10/2024; 18:48:44;0;1,056028;1,043245;1,047306;1,042403;1,040047
23/10/2024; 18:48:44;0;1,056028;1,043245;1,047306;1,042403;1,040047
23/10/2024; 18:48:44;0;1,009157;1,029873;1,034723;1,039676;1,036862
23/10/2024; 18:48:44;0;1,009157;1,029873;1,034723;1,039676;1,036862
23/10/2024; 18:48:44;0;1,046385;1,03719;1,034001;1,037055;1,040794
23/10/2024; 18:48:44;0;1,020264;1,025269;1,032959;1,031254;1,034257
23/10/2024; 18:48:44;0;1,020264;1,025269;1,032959;1,031254;1,034257
23/10/2024; 18:48:44;0;1,038343;1,034997;1,028537;1,034035;1,032435
23/10/2024; 18:48:44;0;1,038343;1,034997;1,028537;1,034035;1,032435
23/10/2024; 18:48:45;0;1,039546;1,032718;1,036135;1,030739;1,034954
23/10/2024; 18:48:45;0;1,043542;1,040477;1,035424;1,037616;1,032873
23/10/2024; 18:48:45;0;1,043542;1,040477;1,035424;1,037616;1,032873
23/10/2024; 18:48:45;0;1,010374;1,031154;1,032951;1,030414;1,033076
23/10/2024; 18:48:45;0;1,010374;1,031154;1,032951;1,030414;1,033076
23/10/2024; 18:48:45;0;0,980367;1,011428;1,018457;1,022434;1,022073
23/10/2024; 18:48:45;0;0,995996;0,995579;1,00757;1,013965;1,018028
23/10/2024; 18:48:45;0;0,995996;0,995579;1,00757;1,013965;1,018028
23/10/2024; 18:48:45;0;1,080673;1,019012;1,016852;1,02219;1,025083
23/10/2024; 18:48:45;0;1,118032;1,064901;1,043767;1,037089;1,038164
23/10/2024; 18:48:45;0;1,118032;1,064901;1,043767;1,037089;1,038164
